[2025-05-09 17:29:15,121] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:16,127] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:17,148] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:18,159] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:19,204] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:20,190] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:21,194] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:22,201] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:23,218] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:24,231] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:25,252] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:26,262] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:27,272] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:28,296] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:29,294] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:30,310] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
